Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Paul Arters,7,13,1.86,22,3.14,2,0.29,33,4.71,131,18.71,97.8,123,17.57,1064,152,1433,205
Pawel Janas,10,10,1.0,45,4.5,2,0.2,44,4.4,437,43.7,97.3,172,17.2,1632,163,3719,372
Ross Barker,9,29,3.22,19,2.11,0,0.0,38,4.22,159,17.67,95.2,165,18.33,2085,232,830,92
Drew Swanson,7,6,0.86,1,0.14,18,2.57,24,3.43,13,1.86,100.0,121,17.29,317,45,17,2
Kurt Gibson,3,2,0.67,6,2.0,2,0.67,10,3.33,58,19.33,100.0,51,17.0,182,61,267,89
Keegan North,7,12,1.71,18,2.57,2,0.29,22,3.14,140,20.0,95.2,119,17.0,781,112,1031,147
Nate Goff,10,12,1.2,10,1.0,14,1.4,30,3.0,82,8.2,97.6,200,20.0,877,88,379,38
Jeff Weis,1,5,5.0,0,0.0,0,0.0,3,3.0,19,19.0,90.5,16,16.0,224,224,42,42
Eli Artemakis,8,15,1.88,6,0.75,1,0.13,21,2.63,74,9.25,98.7,111,13.88,1386,173,210,26
Danny Miller,2,2,1.0,3,1.5,0,0.0,5,2.5,15,7.5,100.0,19,9.5,235,118,107,54
Pat Shriwise,7,14,2.0,10,1.43,1,0.14,17,2.43,184,26.29,97.9,113,16.14,1118,160,976,139
Tim Schoch,7,6,0.86,10,1.43,2,0.29,16,2.29,127,18.14,99.2,121,17.29,79,11,818,117
Peter Graffy,4,2,0.5,6,1.5,4,1.0,8,2.0,71,17.75,94.7,72,18.0,307,77,468,117
Jeremy Burril,10,14,1.4,10,1.0,1,0.1,18,1.8,106,10.6,96.4,131,13.1,912,91,631,63
Jason Vallee,9,7,0.78,11,1.22,5,0.56,16,1.78,95,10.56,95.0,153,17.0,406,45,354,39
Jack Shanahan,4,9,2.25,3,0.75,2,0.5,7,1.75,34,8.5,85.0,62,15.5,404,101,263,66
Nico Lake,7,7,1.0,8,1.14,1,0.14,12,1.71,209,29.86,98.6,100,14.29,488,70,1329,190
Matt Jaffe,4,1,0.25,3,0.75,2,0.5,6,1.5,37,9.25,100.0,52,13.0,154,39,134,34
Cal Tornabene,8,3,0.38,2,0.25,7,0.88,11,1.38,29,3.63,96.7,121,15.13,236,30,46,6
Michael Pardo,4,8,2.0,2,0.5,0,0.0,5,1.25,37,9.25,94.9,44,11.0,423,106,162,41
Charlie Furse,10,8,0.8,6,0.6,2,0.2,12,1.2,68,6.8,94.4,141,14.1,421,42,266,27
Eric Blais,5,4,0.8,0,0.0,2,0.4,6,1.2,13,2.6,100.0,61,12.2,145,29,51,10
Von Alanguilan,6,2,0.33,0,0.0,6,1.0,7,1.17,21,3.5,95.5,80,13.33,160,27,31,5
Kevin Herrera,2,1,0.5,1,0.5,0,0.0,2,1.0,39,19.5,100.0,29,14.5,60,30,266,133
Jeffrey Robinson,7,6,0.86,3,0.43,4,0.57,7,1.0,69,9.86,93.2,126,18.0,184,26,457,65
Sam Kaminsky,9,5,0.56,7,0.78,3,0.33,9,1.0,90,10.0,93.8,123,13.67,255,28,420,47
Reid Martin,8,7,0.88,2,0.25,0,0.0,8,1.0,72,9.0,98.6,104,13.0,393,49,244,31
Jesse Johnson,5,4,0.8,0,0.0,1,0.2,4,0.8,9,1.8,90.0,59,11.8,239,48,47,9
William Frolich,5,1,0.2,1,0.2,3,0.6,4,0.8,20,4.0,100.0,68,13.6,40,8,127,25
Samuel Tagle,3,1,0.33,1,0.33,1,0.33,2,0.67,10,3.33,90.9,25,8.33,93,31,121,40
Tommy Gallagher,4,3,0.75,0,0.0,2,0.5,2,0.5,33,8.25,91.7,38,9.5,54,14,120,30
Joseph Kennedy,2,0,0.0,1,0.5,0,0.0,1,0.5,8,4.0,100.0,18,9.0,35,18,97,49
Dex Dremann,2,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,0.0,16,8.0,0,0,0,0
Matt Gubernick,1,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,100.0,9,9.0,4,4,14,14
Milan Rivas,3,1,0.33,1,0.33,0,0.0,0,0.0,20,6.67,90.9,37,12.33,109,36,13,4
